state,meanMedian,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
Utah,109378.08045977012,Utah,2016,580215.0,4952923,394060,2533573,2025290,4923657,2591600,1217100,286744.0,707988
Hawaii,95679.36231884058,Hawaii,2016,181995.0,3030519,261131,2710361,59027,2733094,1468044,901508,146892.0,216650
Minnesota,88461.72542901715,Minnesota,2016,811157.0,12186135,634332,7887346,3664457,12848946,6548885,3016934,954208.0,1743709
Ohio,74885.29873980726,Ohio,2016,1595024.0,23766529,1680983,9277802,12807744,23352516,12247509,7357292,956321.0,1854842
Arkansas,52381.60588235294,Arkansas,2016,479177.0,5401016,593656,4122377,684983,5434193,2658253,1802769,289916.0,518181
Oregon,85136.76485788113,Oregon,2016,574252.0,7418055,582560,3861438,2974057,7501954,3834741,2367410,255562.0,686104
Texas,85856.51304347826,Texas,2016,5053291.0,58284155,5953348,22004299,30326508,59314884,27862199,15169007,2855527.0,8332612
North Dakota,83476.15126050421,North Dakota,2016,108384.0,1788749,155453,985365,647931,1963630,867650,474679,117979.0,412047
Pennsylvania,83214.73152542373,Pennsylvania,2016,1572593.0,31077289,1904293,11181046,17991950,30925177,16717308,8464573,1079198.0,1793713
Connecticut,120557.34929577465,Connecticut,2016,499494.0,11419673,468595,4411204,6539874,10826431,6110631,3307162,380996.0,620905
Nebraska,90510.68727272727,Nebraska,2016,315542.0,4398811,346826,1437048,2614937,4640422,2526973,1149107,206577.0,641968
Vermont,81112.72289156627,Vermont,2016,87974.0,2112365,111891,1614518,385956,2082696,1013209,583178,56289.0,42911
Nevada,90228.09811320755,Nevada,2016,441623.0,4482886,401323,2816911,1264652,4374249,2288790,1505591,184055.0,224494
Washington,99918.09156976744,Washington,2016,1083973.0,14964364,1097684,9211201,4655479,15253296,7087365,4904575,577606.0,2204059
Illinois,86771.18518518518,Illinois,2016,2030717.0,32908958,2331724,12053316,18523918,33037244,17804976,10426170,992684.0,2015647
Oklahoma,61972.666666666664,Oklahoma,2016,672777.0,6103728,689756,2909651,2504321,6184152,3047217,2011100,416151.0,641979
District of Columbia,93759.59375,District of Columbia,2016,48336.0,1329719,154922,0,1174797,1322563,594396,369131,43753.0,315283
Delaware,87086.03409090909,Delaware,2016,121225.0,2043577,134412,1172219,736946,2041952,1126775,588181,130187.0,104579
Alaska,108911.69523809524,Alaska,2016,132477.0,2494691,307320,1613675,573696,2623014,1251738,983877,91536.0,255041
New Mexico,82390.7625,New Mexico,2016,319861.0,3765069,506995,2591444,666630,3729397,1733158,1212080,156882.0,551143
West Virginia,63566.334677419356,West Virginia,2016,276764.0,3391579,358068,1863062,1170449,3366566,1804235,1127255,236487.0,181392
Missouri,70934.11,Missouri,2016,891554.0,10893231,924655,4568867,5399709,10719882,5488433,3298811,630287.0,890008
Rhode Island,105751.98165137615,Rhode Island,2016,133856.0,2401541,175379,940989,1285173,2358654,1340088,811796,90433.0,45441
Georgia,71669.21149144255,Georgia,2016,1727085.0,19403453,1807371,8771192,8824890,19158388,10534931,5554271,1029127.0,1834767
Montana,68587.66891891892,Montana,2016,145240.0,1800909,220340,840804,739765,1879789,973199,599074,85351.0,179414
Michigan,70040.0545144804,Michigan,2016,1335713.0,19416061,1552824,10727785,7135452,18001445,9113469,5899097,847846.0,1062838
Virginia,103971.86369426752,Virginia,2016,1283493.0,16259274,1058146,6297587,8903541,16497520,8944614,5164699,643506.0,1161323
North Carolina,70692.51147540983,North Carolina,2016,1462036.0,13448045,1557900,8287126,3603019,14207389,8060544,4102549,754102.0,912783
Wyoming,113605.57333333333,Wyoming,2016,94511.0,2044669,123012,1175899,745758,2034229,921494,585700,53570.0,454302
Kansas,82433.13648293963,Kansas,2016,495545.0,6069563,453922,3949517,1666124,6134836,3006786,1685306,249622.0,964098
New Jersey,125685.82995495496,New Jersey,2016,1364473.0,30012666,1187430,11681799,17143437,29665476,15831343,9549742,1375737.0,1414861
Maryland,113988.23208191126,Maryland,2016,879196.0,14409321,823599,6334951,7250771,13992191,7779504,4338868,397653.0,1055665
Alabama,62771.24144486692,Alabama,2016,734652.0,7498567,797631,4097696,2603240,7708845,3865453,2439634,602452.0,610743
Arizona,79373.54457050243,Arizona,2016,938274.0,8503034,1160908,3440726,3901400,7987011,3872250,2913176,490641.0,528694
Iowa,80540.41629955947,Iowa,2016,508014.0,6919477,464852,3583134,2871491,6972412,3447707,1978260,268349.0,889597
Massachusetts,118008.03880597015,Massachusetts,2016,921029.0,17484704,765043,6770086,9949575,17037880,9991819,4970289,504388.0,945525
Kentucky,64374.350100603624,Kentucky,2016,686440.0,7745928,880296,4269100,2596532,7786281,3917968,2425472,490641.0,736079
Louisiana,59831.225048923676,Louisiana,2016,660561.0,8397136,1021465,3480353,3895318,8248660,4095916,2789031,421043.0,577609
Mississippi,57423.01246105919,Mississippi,2016,486245.0,4755399,690724,2411621,1653054,4631356,2407637,1551274,287245.0,335067
New Hampshire,101146.00763358778,New Hampshire,2016,179682.0,3150473,169166,1004753,1976554,3124778,1743022,959654,76229.0,137180
Tennessee,65054.75081967213,Tennessee,2016,999265.0,9585331,1095415,4395757,4094159,9680512,5401812,2915193,569611.0,553997
Florida,75203.75677302829,Florida,2016,2776933.0,28125598,3147329,10963807,14014462,27945116,15212112,8286140,1841593.0,1983363
Indiana,83273.609375,Indiana,2016,1002696.0,12732161,954837,7780711,3996613,11535287,5730602,3663349,565820.0,986746
Idaho,81455.55033557047,Idaho,2016,274849.0,2266490,240322,1454830,571338,2100980,1171313,689190,111297.0,74932
South Carolina,68207.05664488017,South Carolina,2016,743320.0,9161667,840786,4262164,4058717,9187299,4274682,3013294,458918.0,1073334
South Dakota,81221.0,South Dakota,2016,134045.0,1455737,196644,438629,820464,1475864,730176,440580,78149.0,192504
California,100581.73292682927,California,2016,6217031.0,89217262,7709079,50904567,30603616,85320133,42587272,26058021,3995951.0,6786142
New York,100544.02685185186,New York,2016,2590945.0,66912661,3369803,27437593,36105265,68282026,43964520,15883500,1599317.0,4656189
Wisconsin,79387.05934718101,Wisconsin,2016,857736.0,11697466,782610,5986763,4928093,11787535,5760418,3691439,508013.0,1082849
Colorado,99512.92205323195,Colorado,2016,880678.0,10123271,713914,4365019,5044338,9878524,4786838,3333043,399899.0,880204
Maine,66040.71337579619,Maine,2016,179879.0,2845391,185803,1074641,1584947,2706103,1437164,938187,116281.0,95951
